"recid","delta","age","hsged","yearearn","white","children","jtpa","treatment","single","male","days"
300607,1,39,0,2003,1,0,0,0,1,0,8
300614,1,23,1,0,0,1,0,1,1,0,3
300616,1,31,1,2560,0,1,1,1,1,0,373
300617,0,19,0,98,1,0,0,1,1,0,671
300618,0,34,1,600,1,0,0,0,0,1,732
300619,1,16,0,3894,1,0,1,0,1,1,112
300620,1,24,1,0,0,1,1,1,0,0,70
300621,1,33,0,220,0,0,0,1,0,1,34
300623,1,22,1,9000,1,0,1,1,1,0,155
300626,1,35,0,0,0,0,1,1,1,1,199
300627,1,36,0,2000,0,0,0,0,1,1,21
300628,1,21,1,900,1,0,1,1,1,1,414
300629,0,26,0,171,1,0,1,1,1,1,645
300633,1,26,0,11000,1,1,1,1,0,1,47
300638,0,33,1,3000,0,1,1,1,0,0,534
300639,1,19,1,875,1,0,0,1,1,1,39
300643,1,44,1,1181,0,1,1,1,0,0,29
300649,1,33,0,2000,0,1,0,0,0,0,211
300653,1,21,1,6000,1,0,0,0,1,1,195
300654,1,26,0,498,1,1,1,1,0,0,202
300655,1,25,0,1500,1,0,1,1,1,1,234
300656,1,21,0,0,0,1,1,1,0,0,379
300660,0,29,1,0,0,0,0,0,1,1,462
300670,1,28,1,7800,1,1,1,1,0,0,636
300674,1,28,0,352,1,1,0,1,0,0,244
300675,0,34,0,0,0,1,0,0,1,0,592
300676,1,24,1,1300,1,0,1,1,1,0,314
300678,1,20,0,1,1,0,0,0,1,1,597
300679,1,52,1,960,0,0,1,1,0,1,319
300682,1,44,1,528,0,1,0,0,0,0,238
300683,1,20,0,800,0,0,0,1,1,1,98
300685,1,19,1,3000,1,0,1,1,1,1,134
300686,1,36,0,700,1,1,0,0,0,0,575
300689,1,27,1,0,1,1,0,0,0,0,159
300692,1,23,0,2725,1,1,1,1,0,0,18
300696,1,33,0,0,0,1,1,1,0,1,64
300697,1,27,1,0,1,1,0,1,1,0,62
300698,1,29,0,9800,1,1,0,1,0,1,29
300699,1,44,0,400,1,1,0,1,0,0,309
300700,1,53,0,0,1,0,1,1,0,0,27
300702,1,20,1,7500,1,1,1,1,1,1,367
300705,1,21,1,9258,0,0,1,1,1,0,87
300708,1,18,0,0,0,1,1,1,1,0,404
300709,1,19,0,350,0,1,1,0,1,1,438
300710,0,28,1,1500,1,1,1,1,0,1,608
300711,1,23,1,5394,1,1,1,1,0,0,19
300712,0,18,0,0,0,0,0,1,1,1,631
300729,1,24,0,0,1,1,0,0,1,0,58
